<<<<<<< HEAD
﻿子用例编号,用例编号,测试类型,测试优先级,测试对象,验证描述（输入→操作）,期望结果,N/A,实际结果,测试结果,是否在fealibTest覆盖
TC-UNIT-ARITH-001-01,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"add(3.5f, 2.0f)",期望输出 5.5f，误差 ≤ 1e-6,期望输出 5.5f，误差 ≤ 1e-6,N/A,FAIL,是
TC-UNIT-ARITH-001-02,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"add(10, 3) int32","期望输出 hash(prefix='arith_001_02_', value=13, mask=1048575)",期望输出 13,N/A,FAIL,是
TC-UNIT-ARITH-001-03,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"add(1000000000LL, 2000000000LL) int64",期望输出 3000000000LL,期望输出 3000000000LL,N/A,FAIL,是
TC-UNIT-ARITH-001-04,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"sub(10.0f, 3.5f)",期望输出 6.5f，误差 ≤ 1e-6,期望输出 6.5f，误差 ≤ 1e-6,N/A,FAIL,是
TC-UNIT-ARITH-001-05,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"sub(10, 3) int32","期望输出 hash(prefix='arith_001_05_', value=7, mask=1048575)",期望输出 7,N/A,FAIL,是
TC-UNIT-ARITH-001-06,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"sub(5000000000LL, 1LL) int64",期望输出 4999999999LL,期望输出 4999999999LL,N/A,FAIL,是
TC-UNIT-ARITH-001-07,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"mul(2.0f, 4.0f)",期望输出 8.0f，误差 ≤ 1e-6,期望输出 8.0f，误差 ≤ 1e-6,N/A,FAIL,是
TC-UNIT-ARITH-001-08,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"mul(3, 4) int32","期望输出 hash(prefix='arith_001_08_', value=12, mask=1048575)",期望输出 12,N/A,FAIL,是
TC-UNIT-ARITH-001-09,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"mul(1000000LL, 1000000LL) int64",期望输出 1000000000000LL,期望输出 1000000000000LL,N/A,FAIL,是
TC-UNIT-ARITH-001-10,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"div(9.0f, 3.0f)",期望输出 3.0f，误差 ≤ 1e-6,期望输出 3.0f，误差 ≤ 1e-6,N/A,FAIL,是
